,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,0.9,9973,1190754.77663,19434.02648999989,341965571.92107,21.0,25.7,41.8,75.4
1,Spectrum,36,0.9,9973,1260368.2128200002,17016.4963299999,357815603.64897,21.0,23.0,33.4,76.4
2,Sparkle,36,1.0,9973,864927.95038,70597.0900799999,265119608.26265997,27.6,38.7,75.1,147.2
3,Spectrum,36,1.0,9973,1121195.5302399998,61677.96944000013,323784713.86674,22.0,27.6,46.8,93.3
4,Sparkle,36,1.1,9973,394330.45868000004,126855.45365999988,147449173.48708,48.2,81.0,217.7,686.4
5,Spectrum,36,1.1,9973,841853.3856999999,128407.17925000023,251106468.34521994,28.1,39.6,78.6,167.2
6,Sparkle,36,1.2,9973,128891.16634,124230.26736999997,70988392.2919,130.1,289.2,1116.0,3016.7
7,Spectrum,36,1.2,9973,540079.7387900001,155623.3283,167831259.47939,41.4,63.5,169.7,426.2
8,Sparkle,36,1.3,9973,31434.60196,68018.06543,27580011.61443,566.6,1725.1,6256.1,11763.3
9,Spectrum,36,1.3,9973,320023.52657,133035.94281000007,103229050.32951,65.9,126.0,393.7,792.7
