,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,0.9,9973,267905.26115000003,131460.82981000002,436772252.57910997,113.6,141.3,207.7,340.3
1,Spectrum,36,0.9,9973,382426.98329000006,142907.39036999986,461855845.61987,77.4,90.2,127.5,263.5
2,Sparkle,36,1.0,9973,118146.67341,205214.99957999997,339526215.52372,226.2,396.0,839.5,1568.6
3,Spectrum,36,1.0,9973,199659.8982,212351.74823000003,271705447.2427701,129.9,259.4,516.8,796.5
4,Sparkle,36,1.1,9973,36525.84916,246280.55701000002,281744122.34809,1130.7,1682.0,2728.7,3772.7
5,Spectrum,36,1.1,9973,79172.72918,223708.61681000004,144908458.12348,509.8,775.7,1417.9,2171.4
6,Sparkle,36,1.2,9973,7893.638070000001,148531.27193,149731301.64055997,5452.7,7019.8,9603.5,11852.6
7,Spectrum,36,1.2,9973,38607.5809,260186.74177999998,112809294.77122,1102.0,1540.9,2380.5,3232.6
8,Sparkle,36,1.3,9973,4619.752149999999,138361.10244999998,130723730.07122001,11182.4,13673.8,18322.7,22757.2
9,Spectrum,36,1.3,9973,17291.0153,195871.43609000003,73094737.58067001,2504.4,3499.8,5274.9,6872.3
