,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,1,9973,339011.31745,361.59292000001295,471842295.59434,93.9,102.9,143.8,225.8
1,Spectrum,36,1,9973,321203.56671000004,259.30115999998526,447032747.5217999,99.5,109.7,146.4,207.1
2,Sparkle,36,5,9973,111417.08320000002,2808.7003899999895,457305798.41186,283.4,318.8,529.1,644.9
3,Spectrum,36,5,9973,112941.31232,2131.312670000014,451910834.92300004,301.0,325.3,424.1,500.5
4,Sparkle,36,10,9973,48794.729869999996,5234.668850000005,402785441.30547994,592.9,952.2,1369.9,1697.0
5,Spectrum,36,10,9973,57567.39365,4065.8183300000032,426785293.38045,575.4,696.9,897.7,1004.3
6,Sparkle,36,15,9973,26219.750829999997,6790.784910000011,370652670.64924,1377.9,1662.3,2493.0,3234.0
7,Spectrum,36,15,9973,36701.63551000001,5419.288439999992,409400336.53976,933.0,1132.8,1380.1,1899.0
8,Sparkle,36,20,9973,15661.84008,7903.050769999999,357730589.96614,2018.5,2791.8,4066.5,5316.6
9,Spectrum,36,20,9973,25846.999820000005,6230.601429999998,389023043.97102994,1357.9,1606.8,1885.2,2287.4
