,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,5,9973,111475.33301999999,2822.5613800000165,457449632.75115,283.2,321.0,526.9,609.9
1,Spectrum,36,5,9973,112958.00495000002,2131.6524499999823,451837543.0560201,301.3,326.2,423.3,502.4
2,Sparkle,36,10,9973,48731.86558,5291.546850000013,403238627.82765996,590.9,953.6,1369.8,1758.6
3,Spectrum,36,10,9973,57480.12494000001,4078.4665699999896,425962124.30177,574.9,695.4,899.7,996.1
4,Sparkle,36,15,9973,26377.34423,6708.535210000002,370875162.85972,1369.6,1619.4,2440.2,3136.3
5,Spectrum,36,15,9973,36643.67777,5418.053889999993,408601618.86908,934.9,1145.0,1386.0,1891.9
6,Sparkle,36,20,9973,15698.27863,7925.22719,358482728.62920004,2027.8,2799.3,4036.1,5252.9
7,Spectrum,36,20,9973,25821.836070000005,6247.699249999996,388463069.7086899,1369.4,1614.4,1891.5,2180.4
8,Sparkle,36,25,9973,9792.3689,9192.035359999996,369189213.51549006,3437.0,4553.9,6462.9,7954.7
9,Spectrum,36,25,9973,19758.200019999997,6862.377070000002,380281323.69197,1799.9,2091.8,2428.5,2964.8
