,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,0.9,9973,1195113.33482,19592.25062999986,343235689.16095,21.0,26.2,42.4,77.8
1,Spectrum,36,0.9,9973,1257261.10691,16944.063869999907,356943459.70602995,21.0,23.0,33.1,76.0
2,Sparkle,36,1.0,9973,877613.8198500002,71896.79859999995,269075634.98018,27.6,39.6,75.6,132.9
3,Spectrum,36,1.0,9973,1123978.37656,62070.36621000003,324607088.81449,22.0,27.6,45.6,86.6
4,Sparkle,36,1.1,9973,413131.82803,133655.90584000005,154693286.43773,50.1,83.7,223.2,583.6
5,Spectrum,36,1.1,9973,833006.13949,127212.18235999998,248456065.90135998,28.2,39.3,81.0,185.0
6,Sparkle,36,1.2,9973,110053.00735999997,106712.89800000004,60749253.89656,133.2,302.1,1329.5,3617.7
7,Spectrum,36,1.2,9973,523135.90581,151163.68379000007,162594397.07959998,41.4,65.5,187.7,439.2
8,Sparkle,36,1.3,9973,45972.56532,98872.57488,40204129.26205,528.5,1469.8,4911.3,9167.2
9,Spectrum,36,1.3,9973,374706.77073,155784.5959999999,120883193.71834,65.0,106.1,224.4,503.4
