,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,10,9973,48713.04368,5262.983629999997,403046083.23885,621.5,954.0,1364.3,1720.0
1,Spectrum,36,10,9973,57508.42785,4067.3474199999937,421122993.79793,578.2,694.0,904.2,1068.2
2,Sparkle,36,15,9973,26441.306779999995,6699.101140000008,370975272.23665005,1367.9,1579.6,2412.0,3188.3
3,Spectrum,36,15,9973,36024.08357,5225.502210000006,391273243.20249,941.5,1175.1,1455.1,1883.3
4,Sparkle,36,20,9973,15680.54957,7942.232849999998,358659175.37285006,1996.8,2791.9,4017.7,5156.2
5,Spectrum,36,20,9973,24770.53104,5993.21912,362553014.41710997,1406.6,1714.0,2128.6,2598.2
6,Sparkle,36,25,9973,9866.471130000002,9185.965309999998,370430069.06577,3436.9,4546.1,6385.6,7953.8
7,Spectrum,36,25,9973,18361.78892,6595.067119999998,346081306.70969,1923.5,2290.8,2901.0,3474.8
8,Sparkle,36,30,9973,6485.25163,10333.831569999998,399591526.80618,5366.4,6799.8,9364.9,11296.0
9,Spectrum,36,30,9973,14224.898519999999,6986.4529999999995,332973608.03716004,2494.2,2929.5,3739.8,4490.6
