,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Calvin,36,0.9,9973,74462.33898999999,0.0,84291367.74350998,347.2,542.1,820.1,1037.2
1,AriaFB,36,0.9,9973,244964.53056,184863.3383,277484711.9225,194.4,208.3,275.3,411.2
2,Aria,36,0.9,9973,247864.53689000002,130688.45531999995,280713344.21937,185.7,201.5,267.3,395.4
3,Sparkle,36,0.9,9973,268955.16182,131956.51068000006,438531161.80555,112.8,141.6,206.1,322.8
4,Spectrum,36,0.9,9973,386339.23238000006,144993.1835500001,466266745.85667,77.3,90.3,126.5,209.3
5,SpectrumPreSched,36,0.9,9973,373275.0248,122818.17665999992,448546296.00098,81.8,95.6,125.2,179.5
6,Calvin,36,1.0,9973,46051.796120000006,0.0,52130633.192269996,766.4,1086.5,1490.8,1775.1
7,AriaFB,36,1.0,9973,188511.84186000002,179515.1336,213574920.12886,267.9,334.0,475.2,676.8
8,Aria,36,1.0,9973,191306.42098000002,157539.83649999998,216716408.36791,255.1,321.4,455.8,651.9
9,Sparkle,36,1.0,9973,109797.16871,190963.4053,315967702.26469,239.7,472.7,1016.1,1876.1
10,Spectrum,36,1.0,9973,193234.02678000001,205299.42934999993,262405417.15552002,128.7,231.3,543.1,891.4
11,SpectrumPreSched,36,1.0,9973,229166.53884999998,209975.06547000003,306584625.93876994,128.7,165.3,319.5,473.0
12,Calvin,36,1.1,9973,27642.86885,0.0,31291727.526909996,1400.0,1855.5,2375.3,2733.6
13,AriaFB,36,1.1,9973,126351.53382000001,125748.77541999999,143155685.0686,418.0,555.4,869.4,1185.9
14,Aria,36,1.1,9973,140486.59846,134117.25033999997,159164946.69076,364.8,425.1,550.2,850.0
15,Sparkle,36,1.1,9973,28672.11751,195754.86719999998,224388860.81781998,1466.7,2334.5,3993.2,5894.1
16,Spectrum,36,1.1,9973,101347.72593,293981.56360999995,186482008.52651003,353.0,515.0,870.2,1309.4
17,SpectrumPreSched,36,1.1,9973,136898.56903999997,336564.32527000003,239146598.08029,240.5,290.6,393.9,558.7
18,Calvin,36,1.2,9973,25398.190580000002,0.0,28750751.751339994,1513.0,2051.8,2569.3,2810.7
19,AriaFB,36,1.2,9973,102862.71763999999,102817.80080000003,116543414.17586999,519.6,622.0,888.1,1137.5
20,Aria,36,1.2,9973,105772.21942000001,104707.03447999999,119838859.43212998,515.5,690.0,1030.3,1449.0
21,Sparkle,36,1.2,9973,9423.29624,176227.89439,177021212.32560998,4157.6,5353.5,8170.6,11072.1
22,Spectrum,36,1.2,9973,32909.88953,228962.77314999996,97797876.96282001,1486.9,2112.6,3313.9,4622.9
23,SpectrumPreSched,36,1.2,9973,70684.71771,383398.43033,179645743.72528,508.7,665.6,1033.2,1481.3
24,Calvin,36,1.3,9973,22225.82184,0.0,25159630.35211,1760.6,2349.8,2886.8,3133.1
25,AriaFB,36,1.3,9973,103017.86189,103011.35295999999,116719231.01641,461.8,595.9,912.7,1290.0
26,Aria,36,1.3,9973,84357.5902,84162.87010999999,95576954.97800997,548.7,691.5,1013.7,1371.2
27,Sparkle,36,1.3,9973,3508.8836499999998,101129.07261,97097474.14417002,14894.9,18580.1,24448.1,28478.6
28,Spectrum,36,1.3,9973,15122.862600000002,173570.15398,64333231.19253001,3483.9,4587.5,6553.8,8052.5
29,SpectrumPreSched,36,1.3,9973,45074.19903,371501.53503,147717223.33582002,911.5,1231.2,1946.4,2706.6
