,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,Sparkle,36,0.9,9973,270398.91605,132792.28919999994,440929700.55422,112.4,140.4,207.4,324.0
1,Spectrum,36,0.9,9973,387446.71325,144626.05275000012,467946443.30376995,77.2,89.8,123.9,220.0
2,Sparkle,36,1.0,9973,112361.83299,196019.62924999997,323900457.16103,241.9,450.3,946.4,1622.1
3,Spectrum,36,1.0,9973,203413.28721,215811.14161999998,276759299.82745004,129.3,230.9,441.8,741.5
4,Sparkle,36,1.1,9973,22916.497979999996,157135.79753,180434432.49768,2084.1,3220.6,5313.2,7289.4
5,Spectrum,36,1.1,9973,95215.62010999999,269215.00302999996,174064168.81456,354.6,525.1,925.2,1521.1
6,Sparkle,36,1.2,9973,8034.96827,146763.00394000002,148319602.39378,5420.1,6801.6,9337.9,11607.9
7,Spectrum,36,1.2,9973,38212.49001,256369.02786999996,111416827.60362999,965.4,1364.2,2190.5,3104.7
8,Sparkle,36,1.3,9973,4384.32697,135502.07225,128695448.56685999,11091.8,13842.7,18481.4,22658.1
9,Spectrum,36,1.3,9973,17514.324060000003,198098.10615000004,73978774.61858001,2390.0,3270.7,4910.8,6352.5
