,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,5274.509,0.0,6013.8,8772.8,13487.0,18502.4
1,AriaFB,6,0,9973,5514.79204,1888.3232799999998,14413.6,16127.2,19196.8,25769.2
2,Aria,6,0,9973,5444.14248,1874.0481599999991,14660.0,16203.2,19034.2,22807.0
3,Sparkle,6,0,9973,5336.15988,374.93467999999996,1010.6,1614.2,2182.0,2302.2
4,Serial,6,0,9973,1976.2050800000002,0.0,628.4,811.2,1155.2,2167.4
5,Spectrum,6,0,9973,5103.624400000001,241.40973999999915,1133.4,1367.6,2320.8,2356.6
6,Calvin,12,0,9973,6125.41324,0.0,3767.4,5886.6,10829.4,16134.8
7,AriaFB,12,0,9973,7759.94996,2667.3594200000007,10406.4,11880.8,14267.8,16566.6
8,Aria,12,0,9973,7728.17886,2683.8763999999996,10516.6,12084.0,14405.8,16334.6
9,Sparkle,12,0,9973,8375.915400000002,1163.7938999999983,1234.6,2074.0,2211.8,2945.0
10,Serial,12,0,9973,1997.9061399999998,0.0,777.2,809.8,1104.4,2169.4
11,Spectrum,12,0,9973,8546.52228,760.6833400000003,1209.4,1950.6,2338.8,2372.4
12,Calvin,18,0,9973,6335.4180400000005,0.0,2675.2,4242.6,8569.8,14472.2
13,AriaFB,18,0,9973,9303.918119999998,3096.35046,8012.2,9234.8,11189.2,13793.6
14,Aria,18,0,9973,9292.7375,3096.5491599999996,7963.4,9253.2,11253.2,13589.8
15,Sparkle,18,0,9973,10780.33396,2174.8566800000017,1854.0,2163.6,2814.6,3585.2
16,Serial,18,0,9973,1998.8984,0.0,779.8,811.4,1061.2,2169.2
17,Spectrum,18,0,9973,11546.766520000001,1456.13208,1496.6,2260.6,2356.8,2526.8
18,Calvin,24,0,9973,6484.558780000001,0.0,2576.6,3886.4,7878.2,15408.8
19,AriaFB,24,0,9973,10609.51024,3651.6282199999987,7486.6,8603.4,10551.8,11904.4
20,Aria,24,0,9973,10592.3363,3657.879299999998,7458.0,8625.4,10638.0,12027.2
21,Sparkle,24,0,9973,12645.688999999998,3455.4978600000004,1949.6,2201.0,2998.6,3882.2
22,Serial,24,0,9973,1993.19636,0.0,779.2,810.0,1083.8,2167.8
23,Spectrum,24,0,9973,14281.194899999999,2223.340659999999,1737.0,2286.4,2364.4,2864.2
24,Calvin,30,0,9973,6362.965760000001,0.0,2307.6,3467.6,7030.6,14633.0
25,AriaFB,30,0,9973,10813.802099999999,3635.7298400000013,6760.8,8063.8,10056.0,11067.2
26,Aria,30,0,9973,10913.4993,3637.331079999999,6724.4,7926.2,9669.6,10958.6
27,Sparkle,30,0,9973,14175.561119999998,4889.652220000001,2126.6,2481.8,3680.8,4641.2
28,Serial,30,0,9973,1978.00828,0.0,783.4,810.8,883.2,2168.6
29,Spectrum,30,0,9973,17014.36984,3171.4628800000037,1821.6,2297.0,2368.6,2869.8
30,Calvin,36,0,9973,5853.35802,0.0,2043.0,2854.2,5672.8,12612.2
31,AriaFB,36,0,9973,9932.20944,2975.7257400000003,5894.0,6713.6,8744.4,10299.8
32,Aria,36,0,9973,9949.3676,3011.7765800000006,5879.6,6689.8,8917.6,10325.0
33,Sparkle,36,0,9973,15447.34278,6455.7603,2175.6,2774.0,3897.2,5039.0
34,Serial,36,0,9973,1956.5996,0.0,783.2,811.4,1397.0,2167.8
35,Spectrum,36,0,9973,19559.149680000002,4234.590759999997,1935.4,2310.6,2388.4,2999.4
